Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
610: 0.165,617: 0.165,660: 0.165,635: 0.165,728: 0.16
610: 0.165,617: 0.165,660: 0.165,635: 0.165,728: 0.16
610: 0.165,617: 0.165,660: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
610: 0.165,617: 0.165,660: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
610: 0.165,660: 0.165,617: 0.165,635: 0.165,728: 0.16
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
642: 0.33,782: 0.175,832: 0.165,866: 0.165,713: 0.165
642: 0.33,782: 0.175,866: 0.165,713: 0.165,785: 0.165
522: 0.165,918: 0.165,465: 0.155,141: 0.155,395: 0.155
522: 0.165,918: 0.165,395: 0.155,141: 0.155,465: 0.155
522: 0.165,918: 0.165,465: 0.155,141: 0.155,395: 0.155
522: 0.165,918: 0.165,465: 0.155,141: 0.155,395: 0.155
522: 0.165,918: 0.165,395: 0.155,141: 0.155,465: 0.155
522: 0.165,918: 0.165,465: 0.155,141: 0.155,395: 0.155
522: 0.165,918: 0.165,395: 0.155,141: 0.155,465: 0.155
522: 0.165,918: 0.165,395: 0.155,141: 0.155,465: 0.155
522: 0.165,918: 0.165,395: 0.155,141: 0.155,465: 0.155
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
832: 0.165,547: 0.165,122: 0.15,38: 0.125,31: 0.12
736: 0.28,583: 0.165,832: 0.165,547: 0.165,755: 0.16
736: 0.28,832: 0.165,583: 0.165,547: 0.165,755: 0.16
755: 0.16,465: 0.155,838: 0.125,194: 0.125,246: 0.115
755: 0.16,465: 0.155,838: 0.125,194: 0.125,429: 0.115
755: 0.16,465: 0.155,838: 0.125,194: 0.125,246: 0.115
755: 0.16,465: 0.155,838: 0.125,194: 0.125,246: 0.115
755: 0.16,465: 0.155,838: 0.125,194: 0.125,246: 0.115
755: 0.16,465: 0.155,194: 0.125,838: 0.125,221: 0.115
755: 0.16,465: 0.155,194: 0.125,838: 0.125,221: 0.115
755: 0.16,465: 0.155,194: 0.125,838: 0.125,221: 0.115
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
909: 0.085,None,None,None,None
589: 0.26,661: 0.25,655: 0.17,547: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,633: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,583: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,547: 0.165
589: 0.26,661: 0.25,655: 0.17,713: 0.165,583: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,547: 0.165
589: 0.26,661: 0.25,655: 0.17,547: 0.165,713: 0.165
780: 0.17,722: 0.17,871: 0.165,762: 0.16,674: 0.155
780: 0.17,722: 0.17,871: 0.165,762: 0.16,674: 0.155
780: 0.17,722: 0.17,871: 0.165,762: 0.16,674: 0.155
780: 0.17,722: 0.17,871: 0.165,762: 0.16,674: 0.155
589: 0.26,661: 0.25,780: 0.17,722: 0.17,655: 0.17
589: 0.26,661: 0.25,780: 0.17,722: 0.17,655: 0.17
589: 0.26,661: 0.25,780: 0.17,722: 0.17,655: 0.17
589: 0.26,661: 0.25,655: 0.17,713: 0.165,633: 0.165
589: 0.26,661: 0.25,780: 0.17,655: 0.17,722: 0.17
589: 0.26,661: 0.25,655: 0.17,583: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,583: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,633: 0.165,713: 0.165
589: 0.26,661: 0.25,655: 0.17,713: 0.165,583: 0.165
661: 0.25,780: 0.17,882: 0.165,583: 0.165,660: 0.165
661: 0.25,780: 0.17,583: 0.165,635: 0.165,986: 0.165
661: 0.25,780: 0.17,882: 0.165,583: 0.165,660: 0.165
661: 0.25,780: 0.17,882: 0.165,583: 0.165,660: 0.165
661: 0.25,780: 0.17,882: 0.165,583: 0.165,660: 0.165
661: 0.25,780: 0.17,635: 0.165,986: 0.165,660: 0.165
661: 0.25,780: 0.17,635: 0.165,986: 0.165,660: 0.165
661: 0.25,780: 0.17,986: 0.165,635: 0.165,660: 0.165
712: 0.17,583: 0.165,929: 0.155,131: 0.155,913: 0.155
712: 0.17,583: 0.165,929: 0.155,131: 0.155,913: 0.155
712: 0.17,583: 0.165,929: 0.155,131: 0.155,913: 0.155
712: 0.17,583: 0.165,141: 0.155,922: 0.155,929: 0.155
712: 0.17,583: 0.165,922: 0.155,141: 0.155,929: 0.155
712: 0.17,583: 0.165,929: 0.155,131: 0.155,913: 0.155
712: 0.17,583: 0.165,141: 0.155,913: 0.155,922: 0.155
583: 0.165,141: 0.155,913: 0.155,922: 0.155,929: 0.155
583: 0.165,141: 0.155,913: 0.155,922: 0.155,929: 0.155
712: 0.17,583: 0.165,141: 0.155,913: 0.155,922: 0.155
782: 0.175,866: 0.165,557: 0.165,610: 0.165,746: 0.16
782: 0.175,866: 0.165,557: 0.165,610: 0.165,746: 0.16
782: 0.175,866: 0.165,557: 0.165,610: 0.165,746: 0.16
782: 0.175,866: 0.165,557: 0.165,610: 0.165,746: 0.16
782: 0.175,557: 0.165,610: 0.165,866: 0.165,746: 0.16
782: 0.175,557: 0.165,610: 0.165,866: 0.165,746: 0.16
782: 0.175,557: 0.165,610: 0.165,866: 0.165,746: 0.16
782: 0.175,866: 0.165,922: 0.155,613: 0.155,667: 0.155
782: 0.175,557: 0.165,866: 0.165,610: 0.165,746: 0.16
782: 0.175,557: 0.165,610: 0.165,866: 0.165,746: 0.16
782: 0.175,557: 0.165,610: 0.165,866: 0.165,746: 0.16
918: 0.165,713: 0.165,131: 0.155,138: 0.155,458: 0.155
918: 0.165,713: 0.165,131: 0.155,138: 0.155,458: 0.155
918: 0.165,713: 0.165,141: 0.155,136: 0.155,138: 0.155
918: 0.165,713: 0.165,141: 0.155,136: 0.155,138: 0.155
918: 0.165,713: 0.165,131: 0.155,138: 0.155,458: 0.155
918: 0.165,713: 0.165,131: 0.155,138: 0.155,458: 0.155
918: 0.165,713: 0.165,141: 0.155,136: 0.155,138: 0.155
918: 0.165,713: 0.165,141: 0.155,136: 0.155,458: 0.155
713: 0.165,918: 0.165,136: 0.155,131: 0.155,138: 0.155
782: 0.175,918: 0.165,610: 0.165,557: 0.165,755: 0.16
782: 0.175,918: 0.165,557: 0.165,610: 0.165,728: 0.16
